================================================================================
LiH SO(4) CG Cross-Center V_ee Diagnostic (v0.9.27)
nmax=3, Z_A=3, Z_B=1, N_e=4
================================================================================

Atomic energies (nmax=3):
  E(Li) = -7.392086 Ha
  E(H)  = -0.500000 Ha
  E(Li+H) = -7.892086 Ha

================================================================================
Cross-center ERI table at R=3.015
J(A_{n_a l_a m_a}, B_{n_b l_b m_b}) = sum D^(n_b) * F0_Sturmian
================================================================================

Reference (no cross-center V_ee): p0*=3.1684, E=-5.019429 Ha

gamma(R=3.015, p0=3.1684) = 0.208603 rad (11.95 deg)

  A (n,l,m)     B (n,l,m)          J_cross        D_elem
  R=3.015: p0=3.1379, E=-4.923059 Ha, 10 iter, CONVERGED (781.0s)
  R=6.000: p0=3.1994, E=-5.118127 Ha, 10 iter, CONVERGED (873.7s)

         R        p0         E_mol     D_e_raw   E-E_atoms    bound?
  --------  --------  ------------  ----------  ----------  --------
     2.000    3.0720     -4.718616   -3.173470    3.173470        NO
     3.015    3.1379     -4.923059   -2.969028    2.969028        NO
     6.000    3.1994     -5.118127   -2.773960    2.773960        NO

================================================================================
Reference: v0.9.21 Sturmian (no cross-center V_ee)
================================================================================
  R=2.000: p0=3.1016, E=-4.809897 Ha, 12 iter, CONVERGED (1144.6s)
  R=3.015: p0=3.1684, E=-5.019429 Ha, 12 iter, CONVERGED (1024.0s)
  R=6.000: p0=3.2328, E=-5.225377 Ha, 13 iter, CONVERGED (1116.0s)

         R    E(no V_ee)   E(SO4 V_ee)         Delta
  --------  ------------  ------------  ------------
     2.000     -4.809897     -4.718616      0.091281
     3.015     -5.019429     -4.923059      0.096370
     6.000     -5.225377     -5.118127      0.107250

================================================================================
Gap Analysis
================================================================================

  SO4 V_ee at R=3.015:
    p0* = 3.1379
    H 1s deficit = eps_Sturmian(1s,p0*) - eps_exact(1s)
                 = (3.1379^2/2 - 3.1379) - (-0.5)
                 = 2.2852 Ha
    E_mol - E_atoms = 2.9690 Ha (>0 means UNBOUND)
    Cross-center V_ee at 1s = 1.980260 Ha

  no V_ee at R=3.015:
    p0* = 3.1684
    H 1s deficit = eps_Sturmian(1s,p0*) - eps_exact(1s)
                 = (3.1684^2/2 - 3.1684) - (-0.5)
                 = 2.3510 Ha
    E_mol - E_atoms = 2.8727 Ha (>0 means UNBOUND)
    Cross-center V_ee at 1s = 0.000000 Ha

  Physical LiH D_e = 0.0924 Ha
  Physical correlation energy ~ 0.12 Ha

  H 1s deficit / D_e = 24.7 x
  H 1s deficit / correlation = 19.0 x

  Total cross-center V_ee (sum of J) = 63.720273 Ha
  H 1s deficit = 2.285207 Ha
  Ratio V_ee / deficit = 27.8838

================================================================================
CONCLUSION
================================================================================

  E_mol(SO4 V_ee, R=3.015)  = -4.923059 Ha
  E_mol(no V_ee, R=3.015)   = -5.019429 Ha
  E_atoms                   = -7.892086 Ha
  Bound with SO4 V_ee?      NO

  NEGATIVE RESULT: SO(4) CG cross-center V_ee does NOT rescue
  the single-p0 Sturmian basis from the one-electron deficit.
  The H 1s deficit (+2.29 Ha) is 0x larger than the cross-center
  V_ee correction (~63.720 Ha). The single-S3 assumption (shared p0)
  is fundamentally incompatible with heteronuclear molecules.

  CONCLUSION: Molecular Sturmians (atom-dependent p0 or adaptive
  energy-shell) are required for correct heteronuclear LiH binding.

Total time: 6731.3s
